site ,date,researcher,salinity,density,shore_type,year,search ,rhizo,liriopsis,gill_isopod,ovigerous,colonial_rhizo,2nd_dactyl,spp,shell_type,broken,shell_length,shell_width,shell_opening,date_my_format,note,lat,long
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,4.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,5.6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,3.6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no ,NA,no,no,,4.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,3.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,1,no,NA,no,no,,2.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,yes,,8.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,4.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,3.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,4.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,5.4,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,6.4,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,4.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,2.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,in_shell,in_shell,in_shell,in_shell,,2.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,in_shell,in_shell,in_shell,in_shell,,4.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,2,no,NA,no,no,,8.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,8.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,8.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,5.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no ,NA,no,no,,5.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,NA,NA,NA,NA,,5.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,NA,NA,NA,NA,,8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,4,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,3,no,NA,no,no,,3.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,5.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,6.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,6.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,6.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,7.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,no,NA,no,yes,,1.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,no,NA,no,no,,3.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,8.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,6.8,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,7,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,8.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,7,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,4.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,yes,no,,3.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,yes,no,,7.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,5.2,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,6.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,6,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,6.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,yes,no,,2.5,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,3.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,2.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,3.1,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,3,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,4,no,NA,no,no,,2.9,hirsutiusculus,NA,NA,NA,NA,NA,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,41,NA,12,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,40.5,NA,10.5,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,55.2,NA,16,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,40,NA,11,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,46,NA,12,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,31,NA,9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,45,NA,13,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,41,NA,10,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,29,NA,10,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,45,NA,8,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,24,NA,12,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,20.4,12.5,12.9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,23.6,16.1,15.9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,41.7,23.6,22.4,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,32,21.4,17.2,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,21.6,13.8,11.3,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,19.5,16.2,15.1,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,22,15.3,13,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,18.2,17.6,11.5,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,18.9,12.1,13.4,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,18.6,11.5,12.1,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,15.4,12.5,10.9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,20.1,13.2,13.1,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no ,19.2,11.2,11.9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,yes,11.9,10.5,8.2,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,7.8,3.1,3.7,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,7.1,4.6,3.3,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,8.2,5.4,3.9,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,8.9,5.6,4.5,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,9.5,6.4,4.8,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,7.1,4.7,3.6,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,7.2,5,3.5,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,8.3,5.6,3.8,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,littorina_scutulata,no,7.2,5,3.4,9-5-2020,,49.2742,-123.16366
trafalgar,2020-5-9,MA,15,6.625,inland,2020,NA,NA,NA,NA,NA,,NA,NA,nucella_lamellosa,no,45,30,27,9-5-2020,,49.2742,-123.16366
white_rock,2020-5-11,MA,30,1,inland,2020,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,11-5-2020,"a very small baby, got lost and didnt measure",49.02481,-122.8347
white_rock,2020-5-11,MA,30,1,inland,2020,2,no,NA,no ,no,,3.5,hirsutiusculus,littorina_scutulata,NA,5.9,3.2,3.3,11-5-2020,,49.02481,-122.8347
white_rock,2020-5-11,MA,30,1,inland,2020,2,no,NA,no,no,,2.6,hirsutiusculus,nucella_lamellosa,NA,8.9,4.4,4.5,11-5-2020,,49.02481,-122.8347
white_rock,2020-5-11,MA,30,1,inland,2020,3,no,NA,yes,no,,4.2,hirsutiusculus,NA,NA,NA,NA,NA,11-5-2020,,49.02481,-122.8347
white_rock,2020-5-11,MA,30,1,inland,2020,3,no,NA,yes,no,,3.5,hirsutiusculus,littorina_scutulata,NA,7.9,4.4,3.4,11-5-2020,,49.02481,-122.8347
white_rock,2020-5-11,MA,30,1,inland,2020,3,no,NA,no,no,,1.9,hirsutiusculus,littorina_scutulata,NA,4.9,3,2.2,11-5-2020,,49.02481,-122.8347
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no,NA,no,no,,4.2,hirsutiusculus,littorina_sitkana,NA,8,6.6,5.2,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no,NA,no,no,,1.8,hirsutiusculus,littorina_sitkana,NA,9,5,5.5,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no,NA,no,no,,4.1,hirsutiusculus,littorina_scutulata,NA,7.6,4.8,4.7,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no,NA,no,yes,,2.8,hirsutiusculus,littorina_scutulata,NA,7.3,3.6,3.2,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no,NA,no,yes,,1.9,hirsutiusculus,littorina_scutulata,NA,5.7,4.9,2.9,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,no ,NA,no,no,,2.7,hirsutiusculus,littorina_scutulata,NA,7,4.6,3.6,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,no,,5.2,hirsutiusculus,littorina_sitkana,NA,8.4,6.4,5.1,12-5-2020,"striped shell, maybe check this later with pic",49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,yes,no,,2.9,hirsutiusculus,littorina_scutulata,NA,6.1,3.8,3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,no,,3.9,hirsutiusculus,littorina_sitkana,NA,5.2,4.3,3.9,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,yes,,2.1,hirsutiusculus,littorina_sitkana,NA,5,3.9,2.9,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,no,,2.3,hirsutiusculus,littorina_scutulata,NA,6.7,3.6,3.6,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,no,,2.6,hirsutiusculus,littorina_sitkana,NA,5.8,4,4.2,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,yes,,2.4,hirsutiusculus,NA,NA,NA,NA,NA,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,no,NA,no,no,,5.1,hirsutiusculus,littorina_sitkana,NA,8,6.7,5.3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,yes,no,,3.1,hirsutiusculus,littorina_scutulata,NA,6.1,3.9,3.4,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,no,,2.9,hirsutiusculus,littorina_sitkana,NA,5.1,3.5,3.1,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,no,,1.8,hirsutiusculus,littorina_scutulata,NA,6.8,4.2,2.8,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,no,,1.9,hirsutiusculus,littorina_sitkana,NA,5.6,3.5,3.3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,yes,,2,hirsutiusculus,littorina_scutulata,NA,6.4,4.1,3.3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,yes,no,,1.5,hirsutiusculus,littorina_scutulata,NA,6.7,3.5,3.2,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,no,,2,hirsutiusculus,littorina_scutulata,NA,5.7,3.4,3.3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,yes,,9,hirsutiusculus,NA,NA,5.5,3.4,2.8,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,no,NA,no,yes,,1.8,hirsutiusculus,NA,NA,5,3.2,2.1,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_scutulata,NA,6.6,5.8,3,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_scutulata,NA,6.2,4.1,2.7,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,2,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_scutulata,NA,4.4,2.9,1.9,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_sitkana,NA,5.9,4.7,2.9,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,3,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_sitkana,NA,6.2,5.2,3.8,12-5-2020,"another striped shell, maybe worth checking but prob sitkana",49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_sitkana,NA,4.3,2.9,2.4,12-5-2020,,49.37846,-123.27969
copper_cove,2020-5-12,MA,15,2.875,inland,2020,4,NA,NA,NA,NA,,NA,hirsutiusculus,littorina_scutulata,NA,3.3,NA,NA,12-5-2020,,49.37846,-123.27969
dunbar,2020-5-24,MA,10,4.33,inland,2020,1,yes,no,no,no,,2.3,hirsutiusculus,littorina_scutulata,no ,7,5.9,5.8,24-5-2020,IMMATURE,49.27304,-123.18337
dunbar,2020-5-24,MA,10,4.33,inland,2020,2,no,no,no,no,,6.3,hirsutiusculus,none,NA,NA,NA,NA,24-5-2020,,49.27304,-123.18337
